iter	Passed	Remaining
182	469	2096
183	475	2106
184	479	2113
185	481	2105
186	482	2097
187	484	2090
188	485	2083
189	487	2077
190	492	2086
191	493	2078
192	495	2070
193	497	2066
194	498	2057
195	499	2048
196	506	2064
197	507	2057
198	509	2052
199	510	2043
200	511	2034
201	512	2025
202	514	2018
203	515	2012
204	517	2005
205	518	1997
206	519	1989
207	520	1982
208	522	1976
209	523	1968
210	524	1960
211	525	1952
212	526	1944
213	527	1937
214	528	1931
215	529	1923
216	531	1916
217	531	1907
218	533	1901
219	534	1894
220	535	1887
221	536	1879
222	537	1871
223	538	1864
224	539	1857
225	540	1851
226	541	1845
227	542	1837
228	543	1830
229	544	1823
230	545	1817
231	547	1812
232	548	1806
233	549	1799
234	550	1792
235	551	1785
236	552	1779
237	554	1774
238	555	1767
239	556	1760
240	556	1754
241	557	1747
242	559	1741
243	560	1736
244	561	1730
245	562	1723
246	563	1717
247	564	1710
248	565	1705
249	566	1700
250	576	1720
251	580	1721
252	581	1716
253	583	1715
254	585	1710
255	592	1723
256	595	1722
257	596	1716
258	597	1710
259	599	1706
260	600	1700
261	607	1710
262	609	1708
263	610	1703
264	612	1697
265	613	1692
266	614	1686
267	615	1680
268	616	1674
269	623	1686
270	625	1681
271	626	1676
272	627	1672
273	629	1667
274	630	1661
275	631	1657
276	636	1661
277	638	1659
278	639	1653
279	640	1648
280	642	1642
281	643	1638
282	644	1633
283	645	1627
284	654	1641
285	657	1641
286	658	1637
287	660	1633
288	668	1645
289	670	1640
290	671	1635
291	672	1631
292	673	1625
293	674	1620
294	675	1615
295	679	1616
296	682	1616
297	684	1612
298	685	1607
299	686	1601
300	687	1596
301	688	1591
302	689	1586
303	690	1581
304	700	1596
305	702	1593
306	703	1588
307	705	1584
308	715	1600
309	717	1596
310	718	1592
311	720	1588
312	722	1584
313	730	1596
314	732	1591
315	733	1588
316	735	1585
317	737	1581
318	746	1592
319	757	1608
320	761	1611
321	765	1611
322	767	1608
323	772	1612
324	775	1609
325	776	1606
326	778	1602
327	779	1597
328	781	1594
329	787	1598
330	789	1595
331	790	1591
332	791	1585
333	792	1580
334	793	1575
335	794	1570
336	800	1574
337	804	1574
338	805	1569
339	805	1564
340	806	1559
341	807	1554
342	809	1550
343	810	1545
344	815	1548
345	817	1544
346	818	1540
347	820	1536
348	821	1532
349	823	1529
350	824	1525
351	825	1520
352	826	1515
353	828	1512
354	830	1508
355	831	1503
356	832	1498
357	833	1494
358	834	1490
359	835	1485
360	836	1481
361	837	1476
362	838	1471
363	847	1480
364	849	1477
365	850	1473
366	851	1469
367	853	1465
368	855	1463
369	864	1471
370	865	1467
371	867	1464
372	868	1460
373	884	1480
374	886	1477
375	887	1473
376	901	1489
377	903	1486
378	904	1481
379	905	1477
380	907	1473
381	908	1469
382	909	1465
383	911	1461
384	912	1457
385	913	1453
386	914	1449
387	916	1445
388	917	1440
389	918	1436
390	919	1432
391	921	1429
392	923	1425
393	924	1422
394	926	1418
395	927	1415
396	929	1411
397	930	1407
398	932	1403
399	933	1400
400	934	1396
401	936	1392
402	937	1388
403	938	1384
404	939	1380
405	976	1427
406	977	1423
407	978	1419
408	980	1416
409	982	1413
410	983	1409
411	990	1413
412	991	1409
413	993	1406
414	995	1403
415	997	1399
416	998	1395
417	1005	1399
418	1007	1396
419	1009	1393
420	1010	1389
421	1011	1386
422	1013	1383
423	1022	1388
424	1023	1384
425	1024	1380
426	1026	1377
427	1028	1374
428	1029	1370
429	1036	1373
430	1037	1370
431	1039	1366
432	1041	1363
433	1043	1360
434	1044	1356
435	1046	1354
436	1048	1350
437	1049	1347
438	1051	1343
439	1053	1340
440	1055	1337
441	1061	1339
442	1062	1336
443	1064	1332
444	1065	1329
445	1067	1325
446	1068	1322
447	1100	1356
448	1102	1353
449	1104	1349
